;AvrBs2;XB3;XopAE;XopAG;XopAK;XopAO1;XopC2;XopE1;XopE4;XopK;XopL;XopN;XopQ;XopR;XopV;XopZ;;;
Epithelial cell signaling in Helicobacter pylori infection;2;0;3;3;2;0;0;1;0;0;0;1;1;0;2;0;;;
Pathogenic Escherichia coli infection;1;1;1;1;1;1;0;0;2;0;0;1;0;0;3;0;;;
Salmonella infection;1;2;1;1;2;1;0;0;2;0;0;3;0;0;2;0;;;
Yersinia infection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
Shigellosis;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Pertussis;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;;;
Legionellosis;1;1;1;1;0;0;0;1;2;0;0;0;1;0;1;0;;;
Tuberculosis;4;1;3;3;2;0;0;1;4;0;0;0;2;0;2;0;;;
Human T-cell leukemia virus 1 infection;0;1;0;0;2;0;1;1;0;0;0;1;0;0;0;0;;;
Human immunodeficiency virus 1 infection;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;;;
Hepatitis C;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Measles;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0;0;;;
Influenza A;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;
Herpes simplex virus 1 infection;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;;;
Human cytomegalovirus infection;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Kaposi sarcoma-associated herpesvirus infection;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;
Epstein-Barr virus infection;2;0;1;2;4;0;0;3;0;0;0;0;0;1;0;1;;;
Human papillomavirus infection;3;1;4;4;3;0;1;2;1;1;0;2;2;1;3;1;;;
Amoebiasis;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;
Leishmaniasis;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
Chagas disease (American trypanosomiasis);1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
African trypanosomiasis;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
Platinum drug resistance;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;
Antifolate resistance;2;1;1;2;0;0;0;1;1;0;0;0;1;0;2;0;;;
